name,boxoffice,Unit,Director,genre,date,actor
海王,103900,万,温子仁,"动作,冒险,奇幻",2018-12-07大陆上映,"特穆拉·莫里森,乔夫·琼斯,杜夫·龙格尔,卡恩·古尔杜尔,杰森·莫玛,艾梅柏·希尔德,威廉·达福,威尔·比尔,温子仁,娜塔莉亚姗福瑞,库尔特·约恩斯塔德,杰夫·尼克尔斯,林路迪,兰道尔·朴,迈克尔·比奇,杰曼·翰苏,妮可·基德曼,大卫·约翰逊,帕特里克·威尔森,雷·沃纳尔,叶海亚·阿卜杜勒-迈丁"
无名之辈,77400,万,饶晓志,"剧情,喜剧,犯罪",2018-11-16大陆上映,"王砚辉,雷志龙,邓钢,林海,丁燕来,张苗,九孔,蒋建强,郁笑丰,邓恩熙,王巨涛,潘斌龙,马吟吟,韩家女,李剑,梁琳,宣子为,章宇,陈建斌,许宏宇,范祥,赵梓冲,王健,任素汐,马睿瀚,史策,谢波,宁桓宇,程怡,饶晓志"
毒液：致命守护者,186300,万,鲁本·弗雷斯彻,"动作,惊悚,科幻",2018-11-09大陆上映,"梅罗拉·沃特斯,韦恩·佩雷,詹姆斯·D·韦斯顿二世,Paul Pillsbury,米歇尔·方,艾米丽塔·T·冈萨雷斯,玛塞拉·布拉吉奥,Daniela Gaskie,安东尼·B·哈里斯,丹尼·皮尔斯,斯科特·黑兹,汤姆·哈迪,威尔·比尔,万恩·姆约维奇,马丁·巴特斯·布拉德福德,卡茜·亨德利,詹姆斯·富尔特斯,斯科特·罗森伯格,威廉·W·巴伯,盖尔·甘布尔,珍妮·斯蕾特,索佩·阿卢科,约瑟夫·阿梅,米歇尔·李,丹特·哈珀,托德·麦克法兰,里兹·阿迈德,瑞德·斯科特,阿里亚当娜·约瑟夫,克里斯蒂安·康佛瑞,杰夫·皮克纳,卡特·伯奇,波士顿·拉什·弗里曼,简·麦克尼尔,米歇尔·威廉姆斯,山姆·麦地那,伍迪·哈里森,凯莉·马塞尔,杰克·汉森,布兰顿·莫拉莱斯,霍梅洛·洛佩兹,麦克·勃兰特,艾蒂安·维克,格雷丝·万"
无敌破坏王2：大闹互联网,26900,万,"瑞奇·摩尔,菲尔·约翰斯顿","喜剧,动画,冒险",2018-11-23大陆上映,"詹妮弗·黑尔,裘蒂·班森,德拉·萨巴,詹姆斯·柯登,乔西·特立尼达,约翰·C·赖利,阿尼卡·诺尼·罗斯,尼可·斯彻金格,山姆·理查森,比尔·哈德尔,塔拉吉·P·汉森,蒂芙妮·赫雷拉,琼·斯奎布,艾琳·贝达,凯莉·麦克唐纳,迈克·吉亚奇诺,伊迪娜·门泽尔,韩秘书·布雷克,杰克·麦克布瑞尔,克里斯汀·贝尔,简·林奇,迪安娜·阿格隆,阿尔弗雷德·莫里纳,约翰·迪·玛吉欧,布拉德·加内特,亚历克斯·莫法特,艾德·奥尼尔,维韦卡·波林,蒂莫西·西蒙斯,萨拉·西尔弗曼,瑞贝卡·薇索基,查尔斯·马丁内斯,弗卢拉·博格,葛洛泽尔·格林,丹·雷诺斯,杰森·曼兹沃克斯,霍拉提奥·桑斯,凯特·希金斯,肖恩·吉布朗尼,梅丽莎·维拉斯诺,安东尼·丹尼尔斯,温明娜,阿娜·奥缇兹,罗杰·克莱格·史密斯,瑞奇·摩尔,马克·史密斯,凯蒂·洛斯,伏霞,蒂姆·艾伦,黄阿丽,盖尔·加朵,科里·伯顿,琳达·拉金,肯特·博伊德,珍妮卡·贝尔格雷,彼特·库伦,贾米·埃曼,曼迪·摩尔,艾伦·图代克,奥丽伊·卡瓦洛,帕米拉·里本,佩吉·奥哈拉,凯文·迪特斯,科琳·巴林杰,雅布其·杨-怀特,达尼·费尔南德斯,吉姆·里尔顿,莫里斯·拉马奇,菲尔·约翰斯顿,雷蒙德·S·佩尔西,范·迪塞尔"
憨豆特工3,17100,万,大卫·科尔,"喜剧,动作,冒险",2018-11-23大陆上映,"本·米勒,杰克·莱西,罗温·艾金森,艾玛·汤普森,通恰伊·古奈什,埃里克·菲尔纳,罗伯特·韦德,马修·比尔德,萨曼莎·罗素,尼克·欧文福特,尼尔·珀维斯,大卫·穆梅尼,梶冈润一,克里斯·克拉克,蒂姆·贝文,米兰达·亨妮莎,埃迪·奥康奈尔,欧嘉·柯瑞兰寇,亚当·詹姆斯"
狗十三,3453,万,曹保平,剧情,2018-12-07大陆上映,"智一桐,杨巍,管丹丹,曹馨月,俞念初,孟钧,罗攀,焦华静,曹保平,孙东海,孔令奇,张雪迎,侯光明,聂鑫,陈砺志,李晓萍,代旭,杨海,岳洋,黄诗佳,李弘彬,李捷,梁同裕,毛楚潇,周珍,果靖霖,曹晓北"
老爸102岁,3009,万,奥米史·舒克拉,"喜剧,剧情,家庭",2018-11-30大陆上映,"索姆亚·定司,阿米特巴·巴强,达尔曼德拉·吉尔,吉米特·特里韦迪,Sunil Vishrani,里希·卡普尔"
神奇动物：格林德沃之罪,39800,万,大卫·叶茨,"冒险,奇幻,家庭",2018-11-16大陆上映,"露丝·霍洛克斯,裘德·洛,埃兹拉·米勒,迈克尔·海登,杰西卡·威廉姆斯,康纳·沃尔夫,柯琳·阿特伍德,J·K·罗琳,纳西尔·贾玛,凯文·格思里,伯纳多·桑托斯,迈克尔·科布,萨比恩·克洛森,金秀贤,英格瓦·埃盖特·西古德松,通恰伊·古奈什,波佩·科比-特曲,迪诺·布加迪,卡门·艾乔戈,贾格·帕特尔,埃迪·雷德梅恩,亚历珊德拉·福特,威廉·纳迪兰,乔安娜·希雅,约书亚·谢伊,沃尔夫·罗特,肖恩·吉斯灵厄姆,大卫·樱井,多娜·普雷斯顿,尼克·欧文福特,约翰尼·德普,佐伊·克拉维兹,伊斯雷尔·鲁兹,丹·福勒,奥拉维尔·达里·奥拉夫松,欧文·弗热瑞,凯瑟琳·沃特森,塔希尔·布尔汉,詹姆斯·纽顿·霍华德,维多利亚·耶茨,布隆蒂斯·佐杜洛夫斯基,艾莉森·萨多尔,卡米尔·雷米泽斯基,菲奥娜·格拉斯科特,卡勒姆·特纳,科内尔·约翰,德里克·里德尔"
惊涛飓浪,1069,万,巴塔萨·科马库,"爱情,灾难",2018-12-07大陆上映,"Gary Lucchesi,山姆·克拉弗林,王中磊,Zac Beresford,Tom Rosenberg,锡亚莱·吐诺卡,罗伯特·理查森,乔丹·坎德尔,亚伦·坎德尔,罗伯特·西蒙斯,谢琳·伍德蕾,杰弗瑞·托马斯,史蒂芬·福斯,格蕾丝·帕尔默,王中军,大卫·科斯,大卫·布兰森·史密斯,巴塔萨·科马库,Kael Damlamian,亚当·弗格森,Tami Ashcraft,埃里克·里德,伊丽莎白·霍桑,安德鲁·斯加索,Luna Campbell,毕斐甯"
摘金奇缘,1136,万,朱浩伟,"喜剧,爱情",2018-11-30大陆上映,"Lee Jun Wen,Amanda Evans,阿黛勒·林,康斯坦斯·吴,奥卡菲娜,朱莉娅·尼克森,Tumurbaatar Enkhtungalag,Leong Chun Chong,杨紫琼,斯蒂芬·杰克,彼得·基亚雷利,卡兰比尔·亨达尔,嘉玛·陈,Jessica Galetti,Stephanie Auyeung,Anders Thage,纪宝珠,Isaac Boon Chuon Lee,Lance Eminger,Joe Ong,德尔菲诺润二,尼科·桑托斯,刘佳镁,Swee Huat Teo,Peter Hodgson,郑肯,Beatrice Chein,查尔斯·格朗斯,钱信伊,Lee Zhi Jian,Tan En Dong,吉娜·格莱尼斯,Tan En Yu,木下众平,苏慧敏,Susan Wong,陆思敬,许优美,卢燕,陈琼华,关凯文,Russel Wong,陈胤希,Roger Shak,许静雯,Deborah Yeo,彼得·卡罗尔,欧阳万成,郑花如,Nevan Koit,Ronnie Kee,Lucinda Lew,亨利·戈尔丁,陈美廪,谢宛谕,维多利亚·洛克,刘芷希,Calvin Wong,姬丝·阿奎诺,瑞米·海依,吴育刚,方展发,马尔库斯·莫,丹尼尔·詹金斯,杰瑞卡·黎,水野索诺娅,Ho Yan Xi,岑勇康"
